num_rotations,num_magnitude_bins,avg_mse,avg_hausdorff,avg_unique_tokens,avg_original_tokens,compression_ratio
32,128,0.0019654963799917943,0.06956614492588474,34.61,346.93,10.023981508234614
32,256,0.0019707821726186515,0.0641676585579392,34.47,338.84,9.829997098926603
32,512,0.0008993154258992818,0.05173201669503204,37.05,347.75,9.385964912280702
64,128,0.000706153110463998,0.05147463085837705,32.61,351.93,10.792088316467341
64,256,0.0007922692972173255,0.050503796740775604,33.55,343.43,10.236363636363638
64,512,0.00019315642035917576,0.03045161827576834,35.1,360.34,10.266096866096865
128,128,0.0005858264932157314,0.04562224865802588,32.61,346.67,10.630788101809262
128,256,0.0005209970464400273,0.041063817784187336,36.31,369.74,10.182869732855963
128,512,8.673852693891837e-05,0.020111507076581797,39.36,369.48,9.38719512195122
